dataset,pred_len,k_label,actual_k_ratio,reduced_variate_k,mse_ratio,mae_ratio,slot_diagnostic_dir,cycle_loss,weighted_cycle_loss,cycle_current_weight,cycle_topr_jaccard,cycle_a_effective_support,cycle_b_effective_support,cycle_slot_overlap,cycle_topr_size,A_shape,B_shape,W_shape,A_eff_mean,A_top1_mean,A_top5_mean,A_row_top5_overlap,A_row_cosine,B_eff_mean,B_top1_mean,B_top5_mean,W_eff_support_mean,W_top1_mean,W_top5_mean,W_density_gt1e-4,W_diag_mass_mean
Electricity,96,0.199,0.1993769470404984,64,1.2132611705910925,1.1877171230488057,./results/Electricity_pl96_mlp_slot_attention_ratio0.20_k64_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.4604478984390285,0.0046044788777546,0.0099999997764825,0.1340909153223037,232.7198181152344,258.3991394042969,0.1213624402880668,6.0,"(64, 321)","(64, 321)","(321, 321)",196.45122510447078,0.026917234862384565,0.0965372098931998,0.07863677878558831,0.6058388933397243,229.05421585717204,0.00881513342390091,0.03652132550746675,166.95949617368336,0.028960145231615615,0.10017191096001068,0.9826476839316388,0.004977432385927029
Electricity,96,0.299,0.2990654205607476,96,1.1965000405558546,1.1775323269119724,./results/Electricity_pl96_mlp_slot_attention_ratio0.30_k96_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.4493224064055143,0.0044932239635737,0.0099999997764825,0.1545634865760803,226.3335418701172,258.3783569335937,0.1188048273324966,4.0,"(96, 321)","(96, 321)","(321, 321)",189.85897326354416,0.03603617391337497,0.1155635080907967,0.08431843497632971,0.5818052347753524,228.8101661813894,0.009056664467358637,0.037163247593909515,140.9065729230016,0.0413280136955327,0.12860400707007144,0.9813084112149533,0.005074116411888548
Electricity,192,0.100,0.0996884735202492,32,1.1990869744316293,1.1727434978614948,./results/Electricity_pl192_mlp_slot_attention_ratio0.10_k32_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.5003251480761349,0.0050032513611867,0.0099999997764825,0.1568948775529861,217.4112243652344,253.8411865234375,0.0978739038109779,11.0,"(32, 321)","(32, 321)","(321, 321)",186.02387525405103,0.02860458742238333,0.09766153176020104,0.05102726574500768,0.5479253277560125,222.83213060707754,0.009090736436285177,0.04026744842776324,157.40056580024293,0.03492883294147938,0.10799578151003643,0.977872885550412,0.006135394435464567
Electricity,192,0.199,0.1993769470404984,64,1.1828989786703148,1.1641702200782802,./results/Electricity_pl192_mlp_slot_attention_ratio0.20_k64_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.4801882205024204,0.0048018821001763,0.0099999997764825,0.1285984814167022,219.51495361328125,258.8659362792969,0.0929232910275459,6.0,"(64, 321)","(64, 321)","(321, 321)",178.7279185963609,0.021208094249226987,0.07749181577035949,0.06175201562106324,0.5624801563730408,230.52402171918095,0.007766673277140733,0.034670258777174,189.04189908414722,0.022803896261151264,0.07119497483151303,0.9814248697120563,0.004604490708996227
Electricity,192,0.299,0.2990654205607476,96,1.1727767672381377,1.156053686966555,./results/Electricity_pl192_mlp_slot_attention_ratio0.30_k96_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.4256144859186331,0.0042561447667862,0.0099999997764825,0.1733134984970092,197.9906005859375,257.9332580566406,0.0955043882131576,4.0,"(96, 321)","(96, 321)","(321, 321)",164.00581168898938,0.0437440856092234,0.13567980040830283,0.06966809384572543,0.49514032554411525,228.14464762984008,0.009160934248014767,0.03759760667771131,120.44093802739242,0.04709327408819406,0.1414219186244903,0.9746896866295941,0.006283204312014328
Electricity,336,0.100,0.0996884735202492,32,1.1737331441384045,1.152868799095886,./results/Electricity_pl336_mlp_slot_attention_ratio0.10_k32_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll336_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.593794810432254,0.0059379479712669,0.0099999997764825,0.1665063798427581,216.8877410888672,254.92214965820312,0.1030058711767196,11.0,"(32, 321)","(32, 321)","(321, 321)",178.9769619753772,0.019745444190166064,0.07581373194804114,0.05237935227854583,0.5624660910982278,224.25013773416202,0.009078580868078528,0.03963292722969698,197.39028305187907,0.017935908654508784,0.06612852987453695,0.9802893993653012,0.005960381047767597
Electricity,336,0.199,0.1993769470404984,64,1.1631431395846719,1.1482703267623167,./results/Electricity_pl336_mlp_slot_attention_ratio0.20_k64_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll336_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.4780941551164761,0.0047809414379796,0.0099999997764825,0.1497361958026886,219.68484497070312,259.846435546875,0.0757275149226188,6.0,"(64, 321)","(64, 321)","(321, 321)",178.81202859292216,0.021377412876544127,0.07815315955952273,0.05260495401864449,0.5674179341969458,231.71489089927,0.0079312863253316,0.03482479072798222,195.32182562549872,0.021133683962949856,0.06897453059464946,0.9801535311186809,0.004815385039570708
Electricity,336,0.299,0.2990654205607476,96,1.1759404712759065,1.1542316119348215,./results/Electricity_pl336_mlp_slot_attention_ratio0.30_k96_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll336_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.4142689189259112,0.0041426890923617,0.0099999997764825,0.1979166716337204,189.0468597412109,257.6893920898437,0.0856359675526619,4.0,"(96, 321)","(96, 321)","(321, 321)",153.961372436993,0.05680259377981095,0.13890643159572758,0.06259572542467279,0.45816001583147137,227.85610808406454,0.009085584022046234,0.037593349572364924,108.9822551353164,0.0739019037206495,0.14785588946243297,0.9736609699051834,0.006399273308357967
Electricity,720,0.100,0.0996884735202492,32,1.106765380705205,1.1115013084694856,./results/Electricity_pl720_mlp_slot_attention_ratio0.10_k32_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.5428135978080013,0.0054281358594401,0.0099999997764825,0.1568489670753479,207.63851928710935,256.1917724609375,0.1354472041130066,11.0,"(32, 321)","(32, 321)","(321, 321)",174.72428148897686,0.03639882150101208,0.101969066653107,0.06978046594982078,0.5166242163760943,225.94605283501656,0.008741763636748237,0.03890466388608581,133.55547732287528,0.05523929084778081,0.12306720987053664,0.978561931658272,0.006063164370265673
Electricity,720,0.199,0.1993769470404984,64,1.102135065787548,1.109700583288971,./results/Electricity_pl720_mlp_slot_attention_ratio0.20_k64_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.4879627222630845,0.0048796271073129,0.0099999997764825,0.1477746218442917,192.23895263671875,257.92596435546875,0.1204530522227287,6.0,"(64, 321)","(64, 321)","(321, 321)",157.77784224498913,0.04761482360211226,0.13196509984197727,0.09370472726127488,0.46874001645916497,229.11850904207282,0.00812627331066051,0.035739314310113,108.47621073326953,0.06763733322626947,0.14469279216913847,0.9764268592113818,0.006813353956226544
